# mac_addr	mangled	demangled
# source: Mac PEF traceback tables; addr = 0x10000000 + code-section offset
# NOTE: old lift-comment mac addrs came from a DIFFERENT Mac build - match by NAME
0x100021c4	.ReleaseScriptThingIntoTheGame__7GScriptFP16GameThingWithPosUli	GScript::ReleaseScriptThingIntoTheGame(GameThingWithPos*, unsigned long, int)
0x10002424	.CheckIfIShouldReact__6LivingF8REACTIONUl	Living::CheckIfIShouldReact(REACTION, unsigned long)
0x10002614	.AddToBoredomMultiplier__7GBeliefFP8Reactionf	GBelief::AddToBoredomMultiplier(Reaction*, float)
0x10002694	.IsPosValidForMapCellExistance__6LivingFRC9MapCoords	Living::IsPosValidForMapCellExistance(const MapCoords&)
0x100026e4	.GetImpressiveValue__16GameThingWithPosFP6LivingP8Reaction	GameThingWithPos::GetImpressiveValue(Living*, Reaction*)
0x10002744	.GetUpdateOfBoredomValue__16GameThingWithPosFP8ReactionP16GameThingWithPos	GameThingWithPos::GetUpdateOfBoredomValue(Reaction*, GameThingWithPos*)
0x100027b4	.GetIncrementSpiralSizeFromRadius__6GUtilsFff	GUtils::GetIncrementSpiralSizeFromRadius(float, float)
0x10002834	.GetResourceNearestEdge__10StoragePitF13RESOURCE_TYPEP6Objecti	StoragePit::GetResourceNearestEdge(RESOURCE_TYPE, Object*, int)
0x100028c4	.IsCloseToEqual__9MapCoordsCFRC9MapCoordsf	MapCoords::IsCloseToEqual(const MapCoords&, float) const
0x10002944	.__nw__FUlPv	__nw(unsigned long, void*)
0x10002974	.swap<Ul>__3stdFRUlRUl	swap<Ul>__3stdFRUlRUl
0x100029b4	.DecrementScriptReference__7GScriptFUl	GScript::DecrementScriptReference(unsigned long)
0x10002a94	.GetInfo__3PotCFv	Pot::GetInfo() const
0x10002ac4	.GetPotType__8GPotInfoCFv	GPotInfo::GetPotType() const
0x10002b84	.DoResourceAdding__5AbodeF13RESOURCE_TYPEUlP16GInterfaceStatusbRC9MapCoordsi	Abode::DoResourceAdding(RESOURCE_TYPE, unsigned long, GInterfaceStatus*, bool, const MapCoords&, int)
0x10002d94	.Clear__33GJVector<21GTPointer<9GameThing>>Fv	GJVector<21GTPointer<9GameThing>>::Clear()
0x10002e04	.DecSizeTo__33GJVector<21GTPointer<9GameThing>>Fl	GJVector<21GTPointer<9GameThing>>::DecSizeTo(long)
0x10002e84	.Clear__18GJVector<7LHPoint>Fv	GJVector<7LHPoint>::Clear()
0x10002ee4	.DecSizeTo__18GJVector<7LHPoint>Fl	GJVector<7LHPoint>::DecSizeTo(long)
0x10002f64	.__ct__18GJVector<7LHPoint>Fv	GJVector<7LHPoint>::GJVector()
0x10002fb4	.__ct__33GJVector<21GTPointer<9GameThing>>Fv	GJVector<21GTPointer<9GameThing>>::GJVector()
0x10003014	.__ct__48LHFastPointer<31LHLinkedNode<P14AtomCollection>>Fv	LHFastPointer<31LHLinkedNode<P14AtomCollection>>::LHFastPointer()
0x10003074	.CreateSpotVisualWithSpecifiedDuration__18GParticleContainerFRC9MapCoords16SPOT_VISUAL_TYPEflP16GameThingWithPos	GParticleContainer::CreateSpotVisualWithSpecifiedDuration(const MapCoords&, SPOT_VISUAL_TYPE, float, long, GameThingWithPos*)
0x100031b4	.AddScriptGameThing__7GScriptFP16GameThingWithPosi	GScript::AddScriptGameThing(GameThingWithPos*, int)
0x10003354	.FindFreeScriptGameThingSlot__7GScriptFv	GScript::FindFreeScriptGameThingSlot()
0x10003454	.SetInScript__16GameThingWithPosFi	GameThingWithPos::SetInScript(int)
0x100034a4	.GetProportionRaised__8PileFoodCFv	PileFood::GetProportionRaised() const
0x100035e4	.GetAmountOfFoodRequiredForMeal__8VillagerFv	Villager::GetAmountOfFoodRequiredForMeal()
0x10003674	.GetScriptObjectType__14GStreetLanternFv	GStreetLantern::GetScriptObjectType()
0x100036c4	.GetScriptObjectType__4TreeFv	Tree::GetScriptObjectType()
0x10003704	.Getg_list__13FlyingObjectsFv	FlyingObjects::Getg_list()
0x10003794	.Sub__7LHPointFRC7LHPoint	LHPoint::Sub(const LHPoint&)
0x100037f4	.ReleaseControlFromScript__7GScriptFP16GameThingWithPosUli	GScript::ReleaseControlFromScript(GameThingWithPos*, unsigned long, int)
0x10003984	.SetScreenCursorChangeXY__10GInterfaceFP7LHCoord	GInterface::SetScreenCursorChangeXY(LHCoord*)
0x100039e4	.ArriveHome__8VillagerFv	Villager::ArriveHome()
0x10003a54	.ArriveHome__5AbodeFv	Abode::ArriveHome()
0x10003a94	.GotoBedAtHome__8VillagerFv	Villager::GotoBedAtHome()
0x10003b14	.GetTribalPower__6ObjectF10TRIBE_TYPE	Object::GetTribalPower(TRIBE_TYPE)
0x10003ba4	.CheckTakeResourcesToStoragePit__8VillagerFv	Villager::CheckTakeResourcesToStoragePit()
0x10003c74	.JustAddResource__12PileResourceF13RESOURCE_TYPEUlb	PileResource::JustAddResource(RESOURCE_TYPE, unsigned long, bool)
0x10003d54	.AddResource__10StoragePitF13RESOURCE_TYPEUlP16GInterfaceStatusbRC9MapCoordsi	StoragePit::AddResource(RESOURCE_TYPE, unsigned long, GInterfaceStatus*, bool, const MapCoords&, int)
0x10004164	.JustAddResource__3PotF13RESOURCE_TYPEUlb	Pot::JustAddResource(RESOURCE_TYPE, unsigned long, bool)
0x10004294	.SetCurrentUnion2Element__8VillagerFQ28Villager6UNION2	Villager::SetCurrentUnion2Element(Villager::UNION2)
0x100042e4	.SendMessageA__10GInterfaceF23INTERFACE_MESSAGE_TYPESP7LHCoord	GInterface::SendMessageA(INTERFACE_MESSAGE_TYPES, LHCoord*)
0x10004644	.IsTextReadTimeComplete__10HelpSystemFv	HelpSystem::IsTextReadTimeComplete()
0x10004904	.UpdateStatusInfo__10GInterfaceFRC9MapCoordsRC7LHPoint	GInterface::UpdateStatusInfo(const MapCoords&, const LHPoint&)
0x10004994	.AtHome__8VillagerFv	Villager::AtHome()
0x100049e4	.FarmerArrivesAtFarm__8VillagerFv	Villager::FarmerArrivesAtFarm()
0x10004bb4	.LHCos__FUl	LHCos(unsigned long)
0x10004bf4	.LHSin__FUl	LHSin(unsigned long)
0x10004c24	.GetFoodCapacity__8VillagerFv	Villager::GetFoodCapacity()
0x10004c94	.GetPointCount__13GestureSystemCFv	GestureSystem::GetPointCount() const
0x10004cd4	.GetSampleAt__13GestureSystemFl	GestureSystem::GetSampleAt(long)
0x10004d94	.CalculateKeyPoint__13GestureSystemFl	GestureSystem::CalculateKeyPoint(long)
0x10004f04	.CalculateKeyAngleAndDirection__13GestureSystemFl	GestureSystem::CalculateKeyAngleAndDirection(long)
0x10005014	.AddPoint__13GestureSystemFP7LHPointP7LHCoord	GestureSystem::AddPoint(LHPoint*, LHCoord*)
0x10005234	.__ct__9MapCoordsFP9JustMapXZ	MapCoords::MapCoords(JustMapXZ*)
0x100052d4	.Create__13PSysInterfaceFP5Spell13PARTICLE_TYPERC7LHPointRC7LHPointfQ213PSysInterface13NET_GAME_TYPE	PSysInterface::Create(Spell*, PARTICLE_TYPE, const LHPoint&, const LHPoint&, float, PSysInterface::NET_GAME_TYPE)
0x10005374	.GetAngleFromXZ__6GUtilsFllll	GUtils::GetAngleFromXZ(long, long, long, long)
0x100053d4	.ScriptWarningMessage__7GScriptFPc	GScript::ScriptWarningMessage(char*)
0x10005414	.RemoveReference__7GScriptFv	GScript::RemoveReference()
0x10005474	.UseFootpathIfNecessary__16GameThingWithPosFP6LivingRC9MapCoordsUc	GameThingWithPos::UseFootpathIfNecessary(Living*, const MapCoords&, unsigned char)
0x10005574	.EnterSitAndChillOut__8VillagerFUcUc	Villager::EnterSitAndChillOut(unsigned char, unsigned char)
0x100055f4	.MSeconds__7LHTimerFv	LHTimer::MSeconds()
0x100056a4	.Start__7LHTimerFv	LHTimer::Start()
0x10005744	.Reset__7LHTimerFUl	LHTimer::Reset(unsigned long)
0x100057f4	.rotate_right__Q23std19__red_black_tree<1>FPQ33std19__red_black_tree<1>9node_baseRPQ33std19__red_black_tree<1>9node_base	std::__red_black_tree<1>::rotate_right(std::__red_black_tree<1>::node_base*, std::__red_black_tree<1>::node_base*&)
0x10005914	.GetScriptObjectType__8VillagerFv	Villager::GetScriptObjectType()
0x100059a4	.UpdatePosition__12ValueSpinnerFf	ValueSpinner::UpdatePosition(float)
0x100059f4	.InGameEditor__10GInterfaceCFv	GInterface::InGameEditor() const
0x10005a34	.SetupVia__14CameraModeNew3FR7LHPointR7LHPointR7LHPointf	CameraModeNew3::SetupVia(LHPoint&, LHPoint&, LHPoint&, float)
0x10005b84	.GetFocusThing__16CameraModeScriptCFv	CameraModeScript::GetFocusThing() const
0x10005be4	.GetComputerPlayerFocus__16CameraModeScriptFv	CameraModeScript::GetComputerPlayerFocus()
0x10005c34	.GetComputerPlayerFollow__16CameraModeScriptFv	CameraModeScript::GetComputerPlayerFollow()
0x10005c84	.Pos__7LHMouseFv	LHMouse::Pos()
0x10005cc4	.GetNorme__7LHPointCFv	LHPoint::GetNorme() const
0x10005d64	.GetNearestActiveWorshipSite__7CitadelCFRC9MapCoordsf	Citadel::GetNearestActiveWorshipSite(const MapCoords&, float) const
0x10005e54	.ScriptPlayAnim__8VillagerFv	Villager::ScriptPlayAnim()
0x10005f24	.ShepherdWaitForFlock__8VillagerFv	Villager::ShepherdWaitForFlock()
0x10006004	.RemoveAll__35LHOrderedLinkedList<12SortedObject>Fv	LHOrderedLinkedList<12SortedObject>::RemoveAll()
0x100060e4	.CheckNeeds__6AnimalFv	Animal::CheckNeeds()
0x100061f4	.ArrivesAtStoragePitForDropOff__8VillagerFv	Villager::ArrivesAtStoragePitForDropOff()
0x10006424	.LookForFlocksInSpiral__6AnimalFRC9MapCoordsPC11GAnimalInfoli	Animal::LookForFlocksInSpiral(const MapCoords&, const GAnimalInfo*, long, int)
0x100065f4	.UpdateHelpProfile__10GInterfaceFv	GInterface::UpdateHelpProfile()
0x10006674	.SlaughterAnimalIsClose__8VillagerFfP6Living	Villager::SlaughterAnimalIsClose(float, Living*)
0x10006724	.IsFunctional__6LivingFv	Living::IsFunctional()
0x100067d4	.IsEffectReceiver__6ObjectFP12EffectValues	Object::IsEffectReceiver(EffectValues*)
0x10006824	.IsLiving__6LivingFv	Living::IsLiving()
0x10006854	.SpecialEffectOnId__7GScriptFv	GScript::SpecialEffectOnId()
0x100069f4	.IncrementScriptReference__7GScriptFUl	GScript::IncrementScriptReference(unsigned long)
0x10006a94	.AddReference__7GScriptFv	GScript::AddReference()
0x10006af4	.Arrived__7GCameraFv	GCamera::Arrived()
0x10006b84	.Arrived__16CameraModeScriptFv	CameraModeScript::Arrived()
